Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Price ($),Customer rating (Out of 5),Prediction
Bell Pepper,Bell Pepper,Honey,Coconut Oil,None,None,33.96,3,Safe
Lamb,Lamb,Maple Syrup,Butter,Salt,None,17.66,4.9,Safe
Oats,Oats,Honey,None,Pepper,Oats,8.95,3.8,Contains
Tomato,Tomato,Honey,Butter,None,None,14.23,1.4,Safe
Nitrates,Nitrates,None,Olive Oil,Salt,None,21.75,4.2,Contains
Canola Oil,Canola Oil,Sugar,None,Garlic,None,47.58,4.7,Contains
Spelt,Spelt,Maple Syrup,Butter,None,Spelt,12.79,3,Contains
Pineapple,Pineapple,Sugar,Coconut Oil,Pepper,None,16.3,3.4,May Contain
Curd,Curd,None,Coconut Oil,None,Curd,10.92,1.1,Safe
Farro,Farro,Sugar,Butter,Pepper,Farro,37.64,4.4,Safe
Duck,Duck,Maple Syrup,Coconut Oil,Salt,None,23.2,4.3,Contains
Cauliflower,Cauliflower,Sugar,Coconut Oil,Pepper,None,45.35,1.7,May Contain
Blackberry,Blackberry,None,Butter,Pepper,None,45.61,1.8,May Contain
Corn,Corn,Sugar,Olive Oil,Pepper,Corn,19.39,2,May Contain
Kiwi,Kiwi,Honey,Olive Oil,None,None,5.27,5,May Contain
Nitrates,Nitrates,Honey,None,Salt,None,8.19,4.6,Contains
Thyme,Thyme,Sugar,None,Garlic,None,21.04,1.2,Contains
Carrageenan,Carrageenan,Maple Syrup,Coconut Oil,Pepper,None,48.59,3,May Contain
Chicken,Chicken,None,Coconut Oil,Salt,None,43.56,1,May Contain
Oregano,Oregano,None,Coconut Oil,Pepper,None,26.15,4.2,May Contain
Sunflower Oil,Sunflower Oil,Maple Syrup,Coconut Oil,Salt,None,19.16,2.1,Safe
Garlic,Garlic,None,Olive Oil,None,None,25.04,2.1,May Contain
Cumin,Cumin,Sugar,None,Garlic,None,29.26,2.1,Contains
Sunflower Seeds,Sunflower Seeds,Maple Syrup,None,None,Sunflower Seeds,39.96,1.8,Contains
Farro,Farro,None,Olive Oil,Garlic,Farro,48.12,1.3,May Contain
Beetroot,Beetroot,Sugar,Butter,Pepper,None,42.24,2.8,Safe
Broccoli,Broccoli,None,Coconut Oil,None,None,23.81,4.6,Contains
Sunflower Oil,Sunflower Oil,Sugar,Coconut Oil,None,None,36.94,1.9,May Contain
Sodium Benzoate,Sodium Benzoate,Maple Syrup,None,None,None,11.58,4.3,Safe
Tuna,Tuna,Sugar,Butter,Pepper,Tuna,42.15,3,Safe
Pear,Pear,Honey,Olive Oil,None,None,10.31,4.6,Contains
Beetroot,Beetroot,Maple Syrup,None,Garlic,None,9.92,4.8,May Contain
Lychee,Lychee,None,Coconut Oil,Garlic,None,36.67,1.7,Contains
Hazelnuts,Hazelnuts,None,None,Pepper,Hazelnuts,31.76,1.8,May Contain
Cottage Cheese,Cottage Cheese,Maple Syrup,Coconut Oil,Pepper,Cottage Cheese,26.37,2.9,Safe
Yogurt,Yogurt,Maple Syrup,Olive Oil,Salt,Yogurt,22.99,1.4,Safe
Mussels,Mussels,Sugar,None,None,Mussels,9.62,1.1,Contains
Veal,Veal,Sugar,Butter,Garlic,None,22.88,3.7,Safe
Shrimp,Shrimp,Honey,Olive Oil,Salt,Shrimp,38.19,4.1,Contains
Bell Pepper,Bell Pepper,None,Butter,Garlic,None,31.7,3.9,Contains
Basil,Basil,None,Coconut Oil,Salt,None,19.54,3.4,Safe
Veal,Veal,None,Olive Oil,Garlic,None,41.22,3,May Contain
Canola Oil,Canola Oil,Sugar,None,Pepper,None,45.15,2.7,May Contain
Saffron,Saffron,None,Coconut Oil,None,None,42.67,1.7,Contains
Whey,Whey,Sugar,Olive Oil,Garlic,Whey,36.13,2.2,May Contain
Lobster,Lobster,Honey,Butter,Salt,Lobster,45.88,2.3,May Contain
Potato,Potato,Honey,Coconut Oil,Garlic,None,45.39,1.8,Safe
Mango,Mango,Sugar,Olive Oil,Pepper,None,41.03,3.6,Contains
Saffron,Saffron,Maple Syrup,Olive Oil,None,None,36.02,2.3,Contains
Goat,Goat,None,Coconut Oil,None,None,7.35,4.8,Safe
Squid,Squid,Sugar,Olive Oil,Garlic,Squid,31.09,3,Safe
Blueberries,Blueberries,Honey,Coconut Oil,Garlic,None,17.04,2.1,Contains
Mussels,Mussels,Honey,Olive Oil,None,Mussels,25.51,4.3,Contains
Peas,Peas,Maple Syrup,None,None,None,22.07,3.4,Contains
Blackberry,Blackberry,Sugar,None,Pepper,None,47.57,3.1,Contains
Peach,Peach,Sugar,Olive Oil,None,None,7.09,3,Contains
Cardamom,Cardamom,Maple Syrup,Olive Oil,None,None,13.96,4.1,Safe
Plum,Plum,None,None,Pepper,None,17.35,4.2,May Contain
Lentils,Lentils,Sugar,None,Pepper,Lentils,23.29,4.6,Safe
Cod,Cod,Maple Syrup,Butter,Salt,Cod,14.76,2.3,Safe
